Tool,Link,Description
cloudsploit,https://github.com/aquasecurity/cloudsploit,Cloud Security Posture Management
clusterd,https://github.com/hatRiot/clusterd,A tool to distribute and remotely manage Hacking Team's RCS agents.
cmloot,https://github.com/shelltrail/cmloot,cmloot.py is built to aid penetration testers to search and find sensitive files in Configuration Manager's complex file share structure.
cmsmap,https://github.com/Dionach/CMSmap,Tool for security audit of web content management systems.
coercer,https://github.com/p0dalirius/coercer,DFS-R target coercion tool
conpass,https://github.com/login-securite/conpass,Python tool for continuous password spraying taking into account the password policy.
constellation,https://github.com/constellation-app/Constellation,Find and exploit vulnerabilities in mobile applications.
corscanner,https://github.com/chenjj/CORScanner,a Python script for finding CORS misconfigurations.
cowpatty,https://github.com/joswr1ght/cowpatty,cowpatty is a tool for offline dictionary attacks against WPA-PSK (Pre-Shared Key) networks.
crackhound,https://github.com/trustedsec/crackhound,A fast WPA/WPA2/WPA3 WiFi Handshake capture / password recovery and analysis tool
creds,https://github.com/ihebski/DefaultCreds-cheat-sheet,One place for all the default credentials to assist pentesters during an engagement. This document has several products default login/password gathered from multiple sources.
crunch,https://github.com/crunchsec/crunch,A wordlist generator where you can specify a standard character set or a character set you specify.
cupp,https://github.com/Mebus/cupp,Cupp is a tool used to generate personalized password lists based on target information.
curlie,https://github.com/rs/curlie,Curlie is a frontend to curl that adds the ease of use of httpie without compromising on features and performance
CyberChef,https://github.com/gchq/CyberChef/,The Cyber Swiss Army Knife
cyperoth,https://github.com/seajaysec/cypheroth,Automated extensible toolset that runs cypher queries against Bloodhound's Neo4j backend and saves output to spreadsheets.
daclsearch,https://github.com/uknowsec/daclsearch,Exhaustive search and flexible filtering of Active Directory ACEs
darkarmour,https://github.com/bats3c/darkarmour,a tool to detect and evade common antivirus products
dex2jar,https://github.com/pxb1988/dex2jar,A tool to convert Android's dex files to Java's jar files
dfscoerce,https://github.com/Wh04m1001/dfscoerce,DFS-R target coercion tool
dirb,https://github.com/v0re/dirb,Web Content Scanner
dirsearch,https://github.com/maurosoria/dirsearch,Tool for searching files and directories on a web site.
divideandscan,https://github.com/snovvcrash/divideandscan,Advanced subdomain scanner
dns2tcp,https://github.com/alex-sector/dns2tcp,dns2tcp is a tool for relaying TCP connections over DNS.
dnschef,https://github.com/iphelix/dnschef,Tool for DNS MITM attacks
dnsenum,https://github.com/fwaeytens/dnsenum,dnsenum is a tool for enumerating DNS information about a domain.
dnsx,https://github.com/projectdiscovery/dnsx,A tool for DNS reconnaissance that can help identify subdomains and other related domains.
donpapi,https://github.com/login-securite/DonPAPI,Dumping revelant information on compromised targets without AV detection
dploot,https://github.com/zblurx/dploot,dploot is Python rewrite of SharpDPAPI written un C#.
droopescan,https://github.com/droope/droopescan,Scan Drupal websites for vulnerabilities.
drupwn,https://github.com/immunIT/drupwn,Drupal security scanner.
dtrx,https://github.com/dtrx-py/dtrx,Do The Right eXtraction - don't remember what set of tar flags or where to pipe the output to extract it? no worries!
eaphammer,https://github.com/s0lst1c3/eaphammer,EAPHammer is a toolkit for performing targeted evil twin attacks against WPA2-Enterprise networks.
empire,https://github.com/BC-SECURITY/Empire,post-exploitation and adversary emulation framework
enum4linux-ng,https://github.com/cddmp/enum4linux-ng,Tool for enumerating information from Windows and Samba systems.
enyx,https://github.com/trickster0/enyx,Framework for building offensive security tools.
evil-winrm-py,https://github.com/adityatelange/evil-winrm-py,Evil-WinRM. But in python
evilwinrm,https://github.com/Hackplayers/evil-winrm,Tool to connect to a remote Windows system with WinRM.
exegol-history,https://github.com/ThePorgs/Exegol-history,Credentials management for Exegol
exif,https://exiftool.org/,Utility to read / write and edit metadata in image / audio and video files
exifprobe,https://github.com/hfiguiere/exifprobe,Exifprobe is a command-line tool to parse EXIF data from image files.
exiftool,https://github.com/exiftool/exiftool,ExifTool is a Perl library and command-line tool for reading / writing and editing meta information in image / audio and video files.
exiv2,https://github.com/Exiv2/exiv2,Image metadata library and toolset
ExtractBitlockerKeys,https://github.com/p0dalirius/ExtractBitlockerKeys,A system administration or post-exploitation script to automatically extract the bitlocker recovery keys from a domain.
eyewitness,https://github.com/FortyNorthSecurity/EyeWitness,a tool to take screenshots of websites / provide some server header info / and identify default credentials if possible.
fcrackzip,https://github.com/hyc/fcrackzip,Password cracker for zip archives.
fdisk,https://github.com/karelzak/util-linux,Collection of basic system utilities / including fdisk partitioning tool
feroxbuster,https://github.com/epi052/feroxbuster,Simple / fast and recursive content discovery tool
ffuf,https://github.com/ffuf/ffuf,Fast web fuzzer written in Go.
fierce,https://github.com/mschwager/fierce,A DNS reconnaissance tool for locating non-contiguous IP space
finalrecon,https://github.com/thewhiteh4t/FinalRecon,A web reconnaissance tool that gathers information about web pages
findomain,https://github.com/findomain/findomain,The fastest and cross-platform subdomain enumerator.
firefox,https://www.mozilla.org,A web browser
firefox_decrypt,https://github.com/unode/firefox_decrypt,Decrypt Firefox saved passwords.
foremost,https://doc.ubuntu-fr.org/foremost,Foremost is a forensic tool for recovering files based on their headers / footers / and internal data structures.
fping,https://github.com/schweikert/fping,fping is a program to send ICMP echo probes to network hosts similar to ping but much better performing when pinging multiple hosts.
freeipscanner,https://github.com/scrt/freeipscanner,A simple bash script to enumerate stale ADIDNS entries
freerdp2-x11,https://github.com/FreeRDP/FreeRDP,FreeRDP is a free implementation of the Remote Desktop Protocol (RDP) released under the Apache license.
frida,https://github.com/frida/frida,Dynamic instrumentation toolkit
fuxploider,https://github.com/almandin/fuxploider,a Python tool for finding and exploiting file upload forms/directories.
fzf,https://github.com/junegunn/fzf,🌸 A command-line fuzzy finder
gau,https://github.com/lc/gau,Fast tool for fetching URLs
gef,https://github.com/hugsy/gef,A modern experience for GDB with advanced debugging capabilities for exploit devs & reverse engineers on Linux.
genusernames,https://gitlab.com/-/snippets/2480505/raw/main/bash,GenUsername is a Python tool for generating a list of usernames based on a name or email address.
GeoPincer,https://github.com/tloja/GeoPincer,GeoPincer is a script that leverages OpenStreetMap's Overpass API in order to search for locations.
geowordlists,https://github.com/p0dalirius/GeoWordlists,tool to generate wordlists of passwords containing cities at a defined distance around the client city.
gf,https://github.com/tomnomnom/gf,A wrapper around grep to avoid typing common patterns
ghidra,https://github.com/NationalSecurityAgency/ghidra,Software reverse engineering suite of tools.
GHunt,https://github.com/mxrch/GHunt,Investigate Google Accounts with emails
git-dumper,https://github.com/arthaud/git-dumper,Small script to dump a Git repository from a website.
githubemail,https://github.com/paulirish/github-email,a command-line tool to retrieve a user's email from Github.
gitleaks,https://github.com/trufflesecurity/gitleaks,Gitleaks scans hardcoded secrets in git repositories and folders.
gittools,https://github.com/internetwache/GitTools,A collection of Git tools including a powerful Dumper for dumping Git repositories.
glow,https://github.com/charmbracelet/glow,glow is a tool to render Markdown inside the terminal.
gmsadumper,https://github.com/micahvandeusen/gMSADumper,A tool for extracting credentials and other information from a Microsoft Active Directory domain.
gobuster,https://github.com/OJ/gobuster,Tool to discover hidden files and directories.
godap,https://github.com/Macmod/godap,A complete TUI for LDAP.
GoExec,https://github.com/FalconOpsLLC/goexec,GoExec is a new take on some of the methods used to gain remote execution on Windows devices. GoExec implements a number of largely unrealized execution methods and provides significant OPSEC improvements overall
goldencopy,https://github.com/Dramelac/GoldenCopy,Copy the properties and groups of a user from neo4j (bloodhound) to create an identical golden ticket
GoMapEnum,https://github.com/nodauf/GoMapEnum,Nothing new but existing techniques are brought together in one tool.
gopherus,https://github.com/tarunkant/Gopherus,Gopherus is a simple command line tool for exploiting vulnerable Gopher servers.
gosecretsdump,https://github.com/c-sto/gosecretsdump,Implements NTLMSSP network authentication protocol in Go
goshs,https://github.com/patrickhener/goshs,Goshs is a replacement for Python's SimpleHTTPServer. It allows uploading and downloading via HTTP/S with either self-signed certificate or user provided certificate and you can use HTTP basic auth.
gowitness,https://github.com/sensepost/gowitness,A website screenshot utility written in Golang.
GPOddity,https://github.com/synacktiv/GPOddity,Aiming at automating GPO attack vectors through NTLM relaying (and more)
gpp-decrypt,https://github.com/t0thkr1s/gpp-decrypt,A tool to decrypt Group Policy Preferences passwords
gqrx,https://github.com/csete/gqrx,Software defined radio receiver powered by GNU Radio and Qt
gron,https://github.com/tomnomnom/gron,Make JSON greppable!
h2csmuggler,https://github.com/BishopFox/h2csmuggler,HTTP Request Smuggling tool using H2C upgrade
h8mail,https://github.com/khast3x/h8mail,Email OSINT and breach hunting.
hackrf,https://github.com/mossmann/hackrf,Low cost software defined radio platform
haiti,https://github.com/noraj/haiti,haiti is a A CLI tool (and library) to identify hash types (hash type identifier).
hakrawler,https://github.com/hakluke/hakrawler,a fast web crawler for gathering URLs and other information from websites
hakrevdns,https://github.com/hakluke/hakrevdns,Reverse DNS lookup utility that can help with discovering subdomains and other information.
hashcat,https://hashcat.net/hashcat,A tool for advanced password recovery
hashonymize,https://github.com/ShutdownRepo/hashonymize,This small tool is aimed at anonymizing hashes files for offline but online cracking like Google Collab for instance (see https://github.com/ShutdownRepo/google-colab-hashcat).
Havoc,https://github.com/HavocFramework/Havoc,Command & Control Framework
hcxdumptool,https://github.com/ZerBea/hcxdumptool,Small tool to capture packets from wlan devices.
hcxtools,https://github.com/ZerBea/hcxtools,Tools for capturing and analyzing packets from WLAN devices.
hexedit,https://github.com/pixel/hexedit,View and edit binary files
Hob0Rules rules,https://github.com/praetorian-inc/Hob0Rules,Password cracking rules for Hashcat based on statistics and industry patterns
holehe,https://github.com/megadose/holehe,mail osint tool finding out if it is used on websites.
hping3,https://github.com/antirez/hping,A network tool able to send custom TCP/IP packets
httpmethods,https://github.com/ShutdownRepo/httpmethods,Tool for exploiting HTTP methods (e.g. PUT / DELETE / etc.)
httprobe,https://github.com/tomnomnom/httprobe,A simple utility for enumerating HTTP and HTTPS servers.
httpx,https://github.com/projectdiscovery/httpx,A tool for identifying web technologies and vulnerabilities / including outdated software versions and weak encryption protocols.
hydra,https://github.com/vanhauser-thc/thc-hydra,Hydra is a parallelized login cracker which supports numerous protocols to attack.
ida,https://www.hex-rays.com/products/ida/,Interactive disassembler for software analysis.
ignorant,https://github.com/megadose/ignorant,holehe but for phone numbers.
imagemagick,https://github.com/ImageMagick/ImageMagick,ImageMagick is a free and open-source image manipulation tool used to create / edit / compose / or convert bitmap images.
impacket,https://github.com/fortra/impacket,Set of tools for working with network protocols (original version).
impacket,https://github.com/ThePorgs/impacket,Set of tools for working with network protocols (ThePorgs version).
Instaloader,https://github.com/instaloader/instaloader,Download content/captions/metadata from Instagram
ipinfo,https://github.com/ipinfo/cli,Get information about an IP address or hostname.
iptables,https://linux.die.net/man/8/iptables,Userspace command line tool for configuring kernel firewall
jackit,https://github.com/insecurityofthings/jackit,Exploit to take over a wireless mouse and keyboard
jadx,https://github.com/skylot/jadx,Java decompiler
jd-gui,https://github.com/java-decompiler/jd-gui,A standalone Java Decompiler GUI
jdwp,https://github.com/IOActive/jdwp-shellifier,This exploitation script is meant to be used by pentesters against active JDWP service / in order to gain Remote Code Execution.
john,https://github.com/openwall/john,John the Ripper password cracker.
joomscan,https://github.com/rezasp/joomscan,A tool to enumerate Joomla-based websites
jsluice,https://github.com/BishopFox/jsluice,Extract URLs / paths / secrets and other interesting data from JavaScript source code.
jwt,https://github.com/ticarpi/jwt_tool,a command-line tool for working with JSON Web Tokens (JWTs)
k9s,https://github.com/derailed/k9s,TUI interface for managing Kubernetes clusters.
kadimus,https://github.com/P0cL4bs/Kadimus,a tool for detecting and exploiting file upload vulnerabilities
katana,https://github.com/projectdiscovery/katana,A next-generation crawling and spidering framework.
keepassxc,https://github.com/keepassxreboot/keepassxc,Cross-platform password manager
KeePwn,https://github.com/Orange-Cyberdefense/KeePwn,KeePwn is a tool that extracts passwords from KeePass 1.x and 2.x databases.
kerbrute,https://github.com/ropnop/kerbrute,A tool to perform Kerberos pre-auth bruteforcing
keytabextract,https://github.com/sosdave/KeyTabExtract,KeyTabExtract is a tool to extract valuable information from keytab files.
kiterunner,https://github.com/assetnote/kiterunner,Tool for operating Active Directory environments.
Kraken,https://github.com/kraken-ng/Kraken,Kraken is a modular multi-language webshell focused on web post-exploitation and defense evasion. It supports three technologies (PHP / JSP and ASPX) and is core is developed in Python.
krbjack,https://github.com/almandin/krbjack,A Kerberos AP-REQ hijacking tool with DNS unsecure updates abuse.
krbrelayx,https://github.com/dirkjanm/krbrelayx,a tool for performing Kerberos relay attacks
kubectl,https://kubernetes.io/docs/reference/kubectl/overview/,Command-line interface for managing Kubernetes clusters.
ldapdomaindump,https://github.com/dirkjanm/ldapdomaindump,A tool for dumping domain data from an LDAP service
ldaprelayscan,https://github.com/zyn3rgy/LdapRelayScan,Check Domain Controllers for LDAP server protections regarding the relay of NTLM authentication.
ldapsearch,https://wiki.debian.org/LDAP/LDAPUtils,Search for and display entries (ldap)
ldapsearch-ad,https://github.com/yaap7/ldapsearch-ad,LDAP search utility with AD support
LDAPWordlistHarvester,https://github.com/p0dalirius/pyLDAPWordlistHarvester,Generate a wordlist from the information present in LDAP in order to crack passwords of domain accounts
ldeep,https://github.com/franc-pentest/ldeep,ldeep is a tool to discover hidden paths on Web servers.
legba,https://github.com/evilsocket/legba,a multiprotocol credentials bruteforcer / password sprayer and enumerator built with Rust
libmspack,https://github.com/kyz/libmspack,C library for Microsoft compression formats.
libnfc,https://github.com/grundid/nfctools,Library for Near Field Communication (NFC) devices
libnfc-crypto1-crack,https://github.com/droidnewbie2/acr122uNFC,Implementation of cryptographic attack on Mifare Classic RFID cards
libusb-dev,https://github.com/libusb/libusb,Library for USB device access
ligolo-ng,https://github.com/nicocha30/ligolo-ng,An advanced yet simple tunneling tool that uses a TUN interface.
linkedin2username,https://github.com/initstring/linkedin2username,Generate a list of LinkedIn usernames from a company name.
linkfinder,https://github.com/GerbenJavado/LinkFinder,a Python script that finds endpoints and their parameters in JavaScript files.
lnkup,https://github.com/Plazmaz/lnkUp,This tool will allow you to generate LNK payloads. Upon rendering or being run they will exfiltrate data.
lsassy,https://github.com/Hackndo/lsassy,Windows secrets and passwords extraction tool.
ltrace,https://github.com/dkogan/ltrace,ltrace is a debugging program for Linux and Unix that intercepts and records dynamic library calls that are called by an executed process.
maigret,https://github.com/soxoj/maigret,Collects information about a target email (or domain) from Google and Bing search results
maltego,https://www.paterva.com/web7/downloads.php,A tool used for open-source intelligence and forensics
manspider,https://github.com/blacklanternsecurity/MANSPIDER,Manspider will crawl every share on every target system. If provided creds don't work it will fall back to 'guest' then to a null session.
mariadb-client,https://github.com/MariaDB/server,MariaDB is a community-developed fork of the MySQL relational database management system. The mariadb-client package includes command-line utilities for interacting with a MariaDB server.
masky,https://github.com/Z4kSec/Masky,Masky is a python library providing an alternative way to remotely dump domain users' credentials thanks to an ADCS. A command line tool has been built on top of this library in order to easily gather PFX or NT hashes and TGT on a larger scope
masscan,https://github.com/robertdavidgraham/masscan,Masscan is an Internet-scale port scanner
massdns,https://github.com/blechschmidt/massdns,MassDNS is a simple high-performance DNS stub resolver targeting those who seek to resolve a massive amount of domain names in the order of millions or even billions.
mdcat,https://github.com/swsnr/mdcat,Fancy cat for Markdown
Metagoofil,https://github.com/opsdisk/metagoofil,Metagoofil is a tool for gathering metadata of a website
metasploit,https://github.com/rapid7/metasploit-framework,A popular penetration testing framework that includes many exploits and payloads
mfcuk,https://github.com/nfc-tools/mfcuk,Implementation of an attack on Mifare Classic and Plus RFID cards
mfdread,https://github.com/zhovner/mfdread,Tool for reading/writing Mifare RFID tags
mfoc,https://github.com/nfc-tools/mfoc,Implementation of 'offline nested' attack by Nethemba
minicom,https://doc.ubuntu-fr.org/minicom,Minicom is a text-based serial communication program for Unix-like operating systems.
mitm6,https://github.com/fox-it/mitm6,Tool to conduct a man-in-the-middle attack against IPv6 protocols.
mitmproxy,https://github.com/mitmproxy/mitmproxy,mitmproxy is an interactive SSL/TLS-capable intercepting proxy with a console interface for HTTP/1 HTTP/2 and WebSockets.
mobsf,https://github.com/MobSF/Mobile-Security-Framework-MobSF,Automated and all-in-one mobile application (Android/iOS/Windows) pen-testing malware analysis and security assessment framework
moodlescan,https://github.com/inc0d3/moodlescan,Scan Moodle sites for information and vulnerabilities.
mousejack,https://github.com/BastilleResearch/mousejack,Exploit to take over a wireless mouse and keyboard
msprobe,https://github.com/puzzlepeaches/msprobe,msprobe is a tool to identify Microsoft Windows hosts and servers that are running certain services.
MurMurHash,https://github.com/QU35T-code/MurMurHash,This little tool is to calculate a MurmurHash value of a favicon to hunt phishing websites on the Shodan platform.
naabu,https://github.com/projectdiscovery/naabu,A fast and reliable port scanner that can detect open ports and services.
name-that-hash,https://github.com/HashPals/Name-That-Hash,Online tool for identifying hashes.
nasm,https://github.com/netwide-assembler/nasm,NASM is an 80x86 assembler designed for portability and modularity.
nbtscan,https://github.com/charlesroelli/nbtscan,NBTscan is a program for scanning IP networks for NetBIOS name information.
neo4j,https://github.com/neo4j/neo4j,Database.
neovim,https://neovim.io/,hyperextensible Vim-based text editor
netdiscover,https://github.com/netdiscover-scanner/netdiscover,netdiscover is an active/passive address reconnaissance tool
netexec,https://github.com/Pennyw0rth/NetExec,Network scanner (Crackmapexec updated).
nfct,https://github.com/grundid/nfctools,Tool for Near Field Communication (NFC) devices
nfsshell,https://github.com/Supermathie/nfsshell,NFSShell is a tool for interacting with NFS shares without mounting them.
ngrok,https://github.com/inconshreveable/ngrok,Expose a local server behind a NAT or firewall to the internet
nmap,https://nmap.org,The Network Mapper - a powerful network discovery and security auditing tool
nmap-parse-ouptut,https://github.com/ernw/nmap-parse-output,Converts/manipulates/extracts data from a Nmap scan output.
noPac,https://github.com/Ridter/noPac,Exploiting CVE-2021-42278 and CVE-2021-42287 to impersonate DA from standard domain user.
nosqlmap,https://github.com/codingo/NoSQLMap,a Python tool for testing NoSQL databases for security vulnerabilities.
NSAKEY rules,https://github.com/NSAKEY/nsa-rules,Password cracking rules and masks for hashcat
ntlmv1-multi,https://github.com/evilmog/ntlmv1-multi,Exploit a vulnerability in Microsoft Windows to gain system-level access.
ntlm_theft,https://github.com/Greenwolf/ntlm_theft,A tool for generating multiple types of NTLMv2 hash theft files
nuclei,https://github.com/projectdiscovery/nuclei,A fast and customizable vulnerability scanner that can detect a wide range of issues / including XSS / SQL injection / and misconfigured servers.
oaburl,https://gist.githubusercontent.com/snovvcrash/4e76aaf2a8750922f546eed81aa51438/raw/96ec2f68a905eed4d519d9734e62edba96fd15ff/oaburl.py,Find Open redirects and other vulnerabilities.
objection,https://github.com/sensepost/objection,Runtime mobile exploration
objectwalker,https://github.com/p0dalirius/objectwalker,A python module to explore the object tree to extract paths to interesting objects in memory.
oletools,https://github.com/decalage2/oletools,python tools to analyze MS OLE2 files and MS Office documents - for malware analysis - forensics and debugging.
oneforall,https://github.com/shmilylty/OneForAll,a powerful subdomain collection tool.
onelistforall,https://github.com/six2dez/OneListForAll,Rockyou for web fuzzing
OneRuleToRuleThemStill rules,https://github.com/stealthsploit/OneRuleToRuleThemStill,One rule to crack all passwords. A revamped - optimised and updated version of the original OneRuleToRuleThemAll hashcat rule
onesixtyone,https://github.com/trailofbits/onesixtyone,onesixtyone is an SNMP scanner which utilizes a sweep technique to achieve very high performance.
OpenVPN,https://openvpn.net/,Fast and Easy Zero-Trust VPN Fully in Your Control
Pantagrule rules,https://github.com/rarecoil/pantagrule,large hashcat rulesets generated from real-world compromised passwords
pass,https://github.com/hashcat/hashcat,TODO
PassTheCert,https://github.com/AlmondOffSec/PassTheCert,PassTheCert is a tool to extract Active Directory user password hashes from a domain controller's local certificate store.
patator,https://github.com/lanjelot/patator,Login scanner.
pcredz,https://github.com/lgandx/PCredz,PowerShell credential dumper
pcsc,https://pcsclite.apdu.fr/,Middleware for smart card readers
pdfcrack,https://github.com/robins/pdfcrack,A tool for cracking password-protected PDF files
peda,https://github.com/longld/peda,Python Exploit Development Assistance for GDB.
peepdf,https://github.com/jesparza/peepdf,peepdf is a Python tool to explore PDF files in order to find out if the file can be harmful or not.
penelope,https://github.com/brightio/penelope,Penelope is a shell handler designed to be easy to use and intended to replace netcat when exploiting RCE vulnerabilities.
petitpotam,https://github.com/topotam/PetitPotam,Windows machine account manipulation
phoneinfoga,https://github.com/sundowndev/PhoneInfoga,Information gathering & OSINT framework for phone numbers.
photon,https://github.com/s0md3v/Photon,a fast web crawler which extracts URLs / files / intel & endpoints from a target.
PHP filter chain generator,https://github.com/synacktiv/php_filter_chain_generator,A CLI to generate PHP filters chain / get your RCE without uploading a file if you control entirely the parameter passed to a require or an include in PHP!
phpggc,https://github.com/ambionics/phpggc,Exploit generation tool for the PHP platform.
pkcrack,https://github.com/keyunluo/pkcrack,tool to generate wordlists of passwords containing cities at a defined distance around the client city
pkinittools,https://github.com/dirkjanm/PKINITtools,Pkinit support tools
polenum,https://github.com/Wh1t3Fox/polenum,Polenum is a Python script which uses the Impacket library to extract user information through the SMB protocol.
postman,https://www.postman.com/,API platform for testing APIs
powershell,https://github.com/PowerShell/PowerShell,a command-line shell and scripting language designed for system administration and automation
Powerview.py,https://github.com/aniqfakhrul/powerview.py,PowerView.py is an alternative for the awesome original PowerView.ps1 script.
pp-finder,https://github.com/yeswehack/pp-finder,Prototype pollution finder tool for javascript. pp-finder lets you find prototype pollution candidates in your code.
pre2k,https://github.com/garrettfoster13/pre2k,pre2k is a tool to check if a Windows domain has any pre-2000 Windows 2000 logon names still in use.
pretender,https://github.com/RedTeamPentesting/pretender,an mitm tool for helping with relay attacks.
prips,https://manpages.ubuntu.com/manpages/focal/man1/prips.1.html,A utility for quickly generating IP ranges or enumerating hosts within a specified range.
privexchange,https://github.com/dirkjanm/PrivExchange,a tool to perform attacks against Microsoft Exchange server using NTLM relay techniques
prowler,https://github.com/prowler-cloud/prowler,Perform Cloud Security best practices assessments / audits / incident response / compliance / continuous monitoring / hardening and forensics readiness.
proxmark3,https://github.com/RfidResearchGroup/proxmark3,Open source RFID research toolkit.
proxychains,https://github.com/rofl0r/proxychains,Proxy chains - redirect connections through proxy servers.
pst-utils,https://manpages.debian.org/jessie/pst-utils/readpst.1,pst-utils is a set of tools for working with Outlook PST files.
